key,ja,en,comment
file.loadError,ファイルの読み込みに失敗しました。JSON形式が正しくない可能性があります。,,File load error
file.unsupportedFormat,対応していないファイル形式です。AioniaCSで保存したデータをご利用ください。,,File unsupported format error
ui.header.defaultTitle,Aionia TRPG Character Sheet,,Header default title
ui.header.helpLabel,?,,Header help label
ui.header.newCharacter,新規,,Header new character label
ui.header.signIn,ログイン,,Header sign in label
ui.header.signOut,ログアウト,,Header sign out label
ui.footer.experience,経験点,,Footer experience label
ui.footer.output,出力,,Footer output label
ui.footer.share,共有,,Footer share label
ui.footer.copyEdit,自分用にコピーして編集,,Footer copy/edit label
ui.viewModeBanner,閲覧モードで表示中,,View mode banner text
ui.buttons.saveCloudNew,新規保存,,UI save to cloud new button
ui.buttons.saveCloudOverwrite,上書保存,,UI save to cloud overwrite button
ui.buttons.saveCloudTitle,Google Driveに保存,,UI save to cloud tooltip
ui.buttons.loadCloud,Drive読込,,UI load from cloud button
ui.buttons.loadCloudTitle,Google Driveから読込む,,UI load from cloud tooltip
ui.buttons.saveLocal,端末保存,,UI save local button
ui.buttons.saveLocalTitle,端末に保存,,UI save local tooltip
ui.buttons.loadLocal,読込,,UI load local button
ui.buttons.loadLocalTitle,端末から読込む,,UI load local tooltip
ui.buttons.save,保存,,UI save button
ui.confirmations.unsavedChanges.title,保存されていない変更があります,,Unsaved changes dialog title
ui.confirmations.unsavedChanges.message,現在の内容はまだ保存されていません。新規作成すると変更は失われます。続行しますか？,,Unsaved changes dialog message
ui.confirmations.unsavedChanges.buttons.save,保存して続行,,Unsaved changes dialog save button
ui.confirmations.unsavedChanges.buttons.discard,保存せず続行,,Unsaved changes dialog discard button
ui.confirmations.unsavedChanges.buttons.cancel,キャンセル,,Unsaved changes dialog cancel button
ui.modal.load.title,読込,,Load modal title
ui.modal.load.buttons.loadLocal,ローカルから読み込む,,Load modal local button
ui.modal.load.buttons.loadDrive,Driveから読み込む,,Load modal drive button
ui.modal.load.buttons.selectCharacter,Driveから読み込む,,Load modal select character button
ui.modal.load.signInMessage,Drive機能を使うにはGoogleにサインインしてください。,,Load modal sign-in message
driveLoadPage.title,保存済み冒険者,,Drive load page title
driveLoadPage.placeholder,ここにGoogle Drive上のキャラクター一覧が表示されます,,Drive load page placeholder
driveLoadPage.buttons.back,シートに戻る,,Drive load page back button
driveLoadPage.buttons.refresh,同期,,Drive load page refresh button
driveLoadPage.status.loadingCache,キャッシュを読み込み中…,,Drive load page cache status
driveLoadPage.status.syncing,Google Driveと同期中…,,Drive load page syncing status
driveLoadPage.status.refreshed,最新の一覧を表示しています,,Drive load page refreshed status
driveLoadPage.status.loadMore,さらに読み込み中…,,Drive load page load more status
driveLoadPage.status.error,一覧の取得に失敗しました,,Drive load page error status
driveLoadPage.status.retryHint,再試行してください。ネットワークや認証状態をご確認ください,,Drive load page retry hint
driveLoadPage.labels.untitled,無題のファイル,,Drive load page untitled label
driveLoadPage.labels.unknownCharacter,キャラクター名未設定,,Drive load page unknown character label
driveLoadPage.labels.created,作成,,Drive load page created label
driveLoadPage.labels.modified,更新,,Drive load page modified label
driveLoadPage.labels.hash,ハッシュ,,Drive load page hash label
driveLoadPage.labels.driveHash,Drive上のハッシュ,,Drive load page drive hash label
driveLoadPage.labels.cachedHash,キャッシュのハッシュ,,Drive load page cached hash label
driveLoadPage.labels.notAvailable,なし,,Drive load page not available label
driveLoadPage.labels.unknownDate,日時不明,,Drive load page unknown date label
driveLoadPage.labels.shared,共有中,,Drive load page shared badge
driveLoadPage.labels.sharedAria,このファイルは共有されています,,Drive load page shared aria label
driveLoadPage.labels.selectAction,このキャラクターを開く,,Drive load page select card aria label
driveLoadPage.actions.load,読込,,Drive load page load action
driveLoadPage.actions.delete,削除,,Drive load page delete action
driveLoadPage.actions.share,共有,,Drive load page share action
driveLoadPage.actions.unshare,共有解除,,Drive load page unshare action
driveLoadPage.actions.unshareDisabled,未共有,,Drive load page unshare disabled action
driveLoadPage.actions.download,保存,,Drive load page download action
driveLoadPage.actions.loadAria,{name}を開く,,Drive load page load aria
driveLoadPage.actions.deleteAria,{name}を削除する,,Drive load page delete aria
driveLoadPage.actions.shareAria,{name}を共有する,,Drive load page share aria
driveLoadPage.actions.unshareAria,{name}の共有を解除する,,Drive load page unshare aria
driveLoadPage.actions.downloadAria,{name}を端末に保存する,,Drive load page download aria
driveLoadPage.confirmations.delete,{name}を削除しますか？この操作は元に戻せません。,,Drive load page delete confirmation
driveLoadPage.confirmations.unshare,{name}の共有を解除しますか？,,Drive load page unshare confirmation
driveLoadPage.toasts.share.loading.title,共有リンクを作成中,,Drive load page share loading title
driveLoadPage.toasts.share.loading.message,公開リンクを準備しています…,,Drive load page share loading message
driveLoadPage.toasts.share.success.title,共有リンクをコピーしました,,Drive load page share success title
driveLoadPage.toasts.share.success.message,リンクをクリップボードにコピーしました,,Drive load page share success message
driveLoadPage.toasts.share.error.title,共有に失敗しました,,Drive load page share error title
driveLoadPage.toasts.share.error.message,共有リンクの作成に失敗しました,,Drive load page share error message
driveLoadPage.toasts.unshare.loading.title,共有設定を更新中,,Drive load page unshare loading title
driveLoadPage.toasts.unshare.loading.message,公開設定を解除しています…,,Drive load page unshare loading message
driveLoadPage.toasts.unshare.success.title,共有を解除しました,,Drive load page unshare success title
driveLoadPage.toasts.unshare.success.message,共有リンクの無効化が完了しました,,Drive load page unshare success message
driveLoadPage.toasts.unshare.error.title,共有解除に失敗しました,,Drive load page unshare error title
driveLoadPage.toasts.unshare.error.message,共有設定の更新に失敗しました,,Drive load page unshare error message
driveLoadPage.toasts.download.loading.title,ダウンロードを準備中,,Drive load page download loading title
driveLoadPage.toasts.download.loading.message,ファイルを取得しています…,,Drive load page download loading message
driveLoadPage.toasts.download.success.title,ダウンロード開始,,Drive load page download success title
driveLoadPage.toasts.download.success.message,端末への保存を開始しました,,Drive load page download success message
driveLoadPage.toasts.download.error.title,ダウンロードに失敗しました,,Drive load page download error title
driveLoadPage.toasts.download.error.message,ファイルを取得できませんでした,,Drive load page download error message
driveLoadPage.toasts.delete.loading.title,削除中,,Drive load page delete loading title
driveLoadPage.toasts.delete.loading.message,クラウド上のファイルを削除しています…,,Drive load page delete loading message
driveLoadPage.toasts.delete.success.title,削除完了,,Drive load page delete success title
driveLoadPage.toasts.delete.success.message,ファイルを削除しました,,Drive load page delete success message
driveLoadPage.toasts.delete.error.title,削除に失敗しました,,Drive load page delete error title
driveLoadPage.toasts.delete.error.message,ファイルの削除に失敗しました,,Drive load page delete error message
driveLoadPage.errors.missingDriveManager,Driveの初期化が完了していません,,Drive load page missing manager error
driveLoadPage.errors.folderUnavailable,キャラクターフォルダにアクセスできません,,Drive load page folder unavailable error
driveLoadPage.errors.apiUnavailable,Google Drive APIが利用できません,,Drive load page api unavailable error
driveLoadPage.errors.cacheFailed,キャッシュの読み込みに失敗しました,,Drive load page cache failed error
driveLoadPage.errors.syncFailed,同期に失敗しました,,Drive load page sync failed error
ui.modal.io.title,入出力,,IO modal title
ui.modal.io.buttons.saveLocal,ローカルファイルで出力,,IO modal save local button
ui.modal.io.buttons.print,印刷,,IO modal print button
ui.modal.io.buttons.chatPalette,チャットパレットを出力,,IO modal chat palette button
ui.modal.io.chatPalette.success.title,チャットパレット,,Chat palette success toast title
ui.modal.io.chatPalette.success.message,クリップボードにコピーしました,,Chat palette success toast message
ui.modal.io.chatPalette.error.title,チャットパレット,,Chat palette error toast title
ui.modal.io.chatPalette.error.message,コピーに失敗しました,,Chat palette error toast message
ui.modal.io.chatPalette.clipboardUnavailable,クリップボード機能が利用できません,,Chat palette clipboard unavailable text
sheet.loadIndicator.label,荷重,,Load indicator label
sheet.toggles.showDescription,説明を表示,,Toggle show description label
sheet.images.alt,キャラクター画像,,Sheet image alt text
sheet.images.previous,前の画像,,Sheet image previous button
sheet.images.next,次の画像,,Sheet image next button
sheet.images.add,画像を追加,,Sheet image add button
sheet.images.delete,削除,,Sheet image delete button
sheet.images.deleteAria,現在の画像を削除,,Sheet image delete aria label
sheet.images.empty,画像はありません,,Sheet image empty state
sheet.placeholders.expertSkill,専門技能,,Sheet placeholder expert skill
sheet.placeholders.expertSkillDisabled,専門技能 (技能選択で有効),,Sheet placeholder expert skill disabled
sheet.placeholders.specialSkillNote,詳細,,Sheet placeholder special skill note
sheet.placeholders.characterMemo,キャラクター背景、設定、その他メモを記入,,Sheet placeholder character memo
sheet.placeholders.weaponName,装備名,,Sheet placeholder weapon name
sheet.placeholders.armorName,装備名,,Sheet placeholder armor name
sheet.placeholders.adventureMemo,メモ,,Sheet placeholder adventure memo
sheet.aria.deleteItem,項目を削除,,Sheet aria delete item
sheet.aria.removeExpert,専門技能を削除,,Sheet aria remove expert
sheet.aria.addExpert,専門技能を追加,,Sheet aria add expert
sheet.aria.removeSpecialSkill,特技を削除,,Sheet aria remove special skill
sheet.aria.addSpecialSkill,特技を追加,,Sheet aria add special skill
sheet.aria.addAdventureLog,冒険記録を追加,,Sheet aria add adventure log
sheet.sections.basicInfo.title,基本情報,,Sheet basic info section title
sheet.sections.basicInfo.fields.name,キャラクター名,,Sheet basic info field name
sheet.sections.basicInfo.fields.playerName,プレイヤー名,,Sheet basic info field playerName
sheet.sections.basicInfo.fields.species,種族,,Sheet basic info field species
sheet.sections.basicInfo.fields.rareSpecies,種族名,,Sheet basic info field rare species
sheet.sections.basicInfo.fields.gender,性別,,Sheet basic info field gender
sheet.sections.basicInfo.fields.age,年齢,,Sheet basic info field age
sheet.sections.basicInfo.fields.height,身長,,Sheet basic info field height
sheet.sections.basicInfo.fields.weight,体重,,Sheet basic info field weight
sheet.sections.basicInfo.fields.origin,出身地,,Sheet basic info field origin
sheet.sections.basicInfo.fields.occupation,職業,,Sheet basic info field occupation
sheet.sections.basicInfo.fields.faith,信仰,,Sheet basic info field faith
sheet.sections.scar.title,傷痕,,Sheet scar section title
sheet.sections.scar.fields.initial,初期値,,Sheet scar initial label
sheet.sections.scar.fields.current,現在値（初期値+増加分）,,Sheet scar current label
sheet.sections.weakness.title,弱点,,Sheet weakness section title
sheet.sections.weakness.columns.text,弱点,,Sheet weakness column text
sheet.sections.weakness.columns.acquired,獲得,,Sheet weakness column acquired
sheet.sections.skills.title,技能,,Sheet skills section title
sheet.sections.memo.title,キャラクターメモ,,Sheet memo section title
sheet.sections.specialSkills.title,特技,,Sheet special skills section title
sheet.sections.specialSkills.columns.group,種類,,Sheet special skills column group
sheet.sections.specialSkills.columns.name,名称,,Sheet special skills column name
sheet.sections.specialSkills.columns.acquired,獲得,,Sheet special skills column acquired
sheet.sections.items.title,所持品,,Sheet items section title
sheet.sections.items.labels.otherItems,その他所持品,,Sheet items other items label
sheet.sections.items.labels.slots.weapon1,武器1,,Sheet items slot weapon1
sheet.sections.items.labels.slots.weapon2,武器2,,Sheet items slot weapon2
sheet.sections.items.labels.slots.armor,防具,,Sheet items slot armor
sheet.sections.adventureLog.title,冒険の記録,,Sheet adventure log section title
sheet.sections.adventureLog.columns.scenario,シナリオ名,,Sheet adventure log column scenario
sheet.sections.adventureLog.columns.experience,経験点,,Sheet adventure log column experience
sheet.sections.adventureLog.columns.scar,傷痕増加,,Sheet adventure log column scar
outputButton.default,ココフォリア駒出力,,Output button default label
outputButton.success,コピー完了！,,Output button success label
outputButton.error,コピーエラー (fallback),,Output button error label
outputButton.animating,冒険が始まる――,,Output button animating label
weaknessDropdownHelp,（冒険の記録を追加すると選択肢が増えます）,,Weakness dropdown help
specialSkillDropdownHelp,（シナリオ報酬の場合はシナリオ名を選択）,,Special skill dropdown help
