group,value,label,description,requires_note
tactics,heavy_attack,重撃,"強烈な一撃で敵の体勢を崩す。大型白兵武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。直後の攻撃が命中し、対象の荷重があなたの荷重より3点以上少ない場合、敵の体勢を崩し、2点の追加ダメージを与える。体勢を崩している敵は次の手番まで回避力に－2点のペナルティを受ける。
この特技が効果を及ぼすような敵であるかは、GMが自由に判断することができる。例えば、冒険者より体格が遥かに大きい相手、遥かに力が強い相手には無効になる可能性があるだろう。敵が完全な球形をしていた場合、そもそも体勢を崩すという概念が当てはまらないことさえ考えられる。",false
tactics,risk_attack,捨て身の一撃,"防御を捨て、攻撃に全力を投じる。大型白兵武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。直後の攻撃が命中した場合、1d6点の追加ダメージを与えることができる。
この特技を用いた場合、次の自分の手番まで完全な無防備状態となり、行動することができない。",false
tactics,machine_gunning,掃射,"制圧射撃を行い、広い範囲を一度に攻撃する。射撃武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。直後の攻撃が集団の敵に対して命中した場合、2点の追加ダメージを発生させる。",false
tactics,snipe,狙撃,"狙いすまし、普通は届かない遠距離へ攻撃する。射撃武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。射撃武器本来の射程である20mより遠く離れたものへ攻撃を行う場合に受けるペナルティを無視することができる。
この効果は50m以上の距離が離れているものに対しては適用できない。",false
tactics,provoke,挑発,"あえて隙を見せたり、注意を引く行動や言動をすることで、敵意を引き付ける。
敵が攻撃を行う直前に、インスタントを消費して使用する。攻撃対象を自分へ変更させる。
挑発が効果をもたらすかどうかはGMが自由に判断する。追加で判定を必要とされる可能性もあるし、挑発を意に介さないと判断され却下される可能性もある。また、以前同じ相手へ挑発を行ったことがある場合は効果を発揮しにくくなっていく。",false
tactics,lightning_speed,電光石火,"素早い動きで敵の行動に割り込み、攻撃を行う。
あなたはラウンドの開始時、インスタントを消費してこの特技の発動を宣言できる。難易度10の運動判定を行って成功した場合、荷重による行動順を無視してラウンドの最初に行動できる。
ただし、この特技を使ったラウンドに攻撃を行いたい場合、小型白兵武器での攻撃か非武装攻撃しか行えない。
この特技が効果を及ぼすシチュエーションかどうか、GMは自由に判断することができる。",false
tactics,rush,突撃,"助走をつけて敵に攻撃する。中型白兵武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。直後の攻撃対象の荷重があなたの荷重より3点以上多い場合、2点の追加ダメージを与える。",false
tactics,cleave,薙ぎ払い,"武器を振り回し、広い範囲を一度に攻撃する。大型白兵武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。直後の攻撃が集団の敵に対して命中した場合、1d6点の追加ダメージを発生させる。",false
tactics,knock_shooting,弾き落とし,"敵の射撃を撃ち落とす。中型白兵武器、あるいは防具を装備している時のみ使用可能。
射撃による攻撃の対象になった際、インスタントを消費して使用する。直後の防御に成功した場合、ダメージ軽減に+1点のボーナスを得る。",false
tactics,parry,パリィ,"敵の攻撃を弾き、反撃の隙を作り出す。
反撃の直前に、インスタントを消費して使用する。反撃時、敵の攻撃に対して防御判定か回避判定を行う。成功した場合、ダメージを1点軽減する。",false
tactics,feint,フェイント,"揺動や牽制で敵を惑わせる。小型白兵武器、あるいは中型白兵武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。攻撃する対象の回避力が10以上なら、次に行う命中判定に+4点のボーナスを得ることができる。",false
tactics,throw_weapon,武器投げの習熟,"武器を投擲することに習熟し、本来届かない距離を攻撃する。小型白兵武器、あるいは中型白兵武器を装備している時のみ使用可能。
武器を投擲する直前に、インスタントを消費して使用する。武器投擲の判定を〈白兵〉で行う。",false
tactics,break_weapon,武器破壊,"武器を狙って攻撃し、破損させる。大型白兵武器で攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。直後の攻撃が命中した場合、対象の武器、あるいはそれに準ずるもの（爪や牙など）を破損させる。
この特技がどのような効果を及ぼすかはGMが決定する。例えば武器を完全に破壊し特定の攻撃行動を行えなくなる場合もあれば、破損によって恒久的なダメージ軽減をもたらすかもしれない。",false
tactics,fortitude,不屈,"不屈の心で立ち上がり、即座に戦場へ復帰する。
あなたの手番に、インスタントを消費して使用する。戦闘不能状態の解除を試みることができる。ただし、通常のストレス上昇に加えて、3点の追加ストレスを受けなければならない。",false
tactics,gait,歩法,"巧みな足さばきで有利な地点を確保する。防具を装備していない場合のみ使用できる。
攻撃対象になった際、インスタントを消費して使用する。直後の回避に+1点のボーナスを得る。",false
tactics,anticipate,見切り,"敵の攻撃を引き付け、最小限の動きで回避する。
攻撃対象となった際、インスタントを消費して使用する。直後に行われる攻撃に対して、回避を行う。この回避には－2点のペナルティを負う。
1回の攻撃に対して、通常の防御や回避と《見切り》を同時に行うことはできない。
リアクションを消費した冒険者は、次のラウンドまで無防備な状態である。さらに攻撃を受けた場合は本来なら自動命中だが、《見切り》を取得していれば続く攻撃にも回避を行うことができる。",false
tactics,pierce_armor,鎧通し,"防御の継ぎ目を突き、あるいは攻撃を浸透させ、脆い箇所に命中させる。小型白兵武器で攻撃、あるいは非武装攻撃を行う時のみ使用可能。
攻撃の直前に、インスタントを消費して使用する。小型白兵武器による攻撃、あるいは白兵攻撃を行う。この攻撃が命中した場合、攻撃対象の防御行動や防御効果を無視した1点のダメージを与える。
この特技が適用されるかどうか、どの程度の効果を及ぼすかはGMが決定する。鎧などの接続部が存在する敵には有効だが、繋ぎ目の一切ない敵には無効かもしれない。あるいは、斬撃や刺突による攻撃か、打撃による攻撃かによっても効果を現す相手が変わるだろう。",false
magic,light,灯り,"手元に光源を発生させる魔術。
光源は術者の周囲に発生し、半径5mの範囲を明るく照らすことができる。術者から5mまでの距離を好きに移動させることができ、効果は30分まで継続することができる。
この魔術的な光は太陽光と性質の異なるものである。そのため、光の中でも太陽光が弱点である敵には有効でない可能性がある。
敵の目前で灯火を発動させれば目眩ましになるかもしれないが、同じ手はそう何度も通用しない。この魔術の光源がもたらす効果は、すべてGMが自由に判断し決定できる。",false
magic,dozing,居眠り,"強い眠気をもたらし、夢へと誘う魔術。魔術触媒を装備している時のみ使用可能。
1点のストレスを受ける。この魔術をかけられた者は抗えないほど強力な睡魔によって眠りの世界へと誘われる。
魔術が発動すれば、対象はちょっとくらいの物音では目も覚まさないほどに熟睡する。強い精神力を持っている人物であっても集中力や認識能力が著しく阻害される。
この魔術はあなたをまったく警戒していない、油断しきった相手にしか発動しない。そのため対象が少しでもあなたを訝しんでいたり、敵意を持っている場合には効果を発揮しない。
また、術をかけるには対象に3秒以上接触している必要がある。",false
magic,enchant,エンチャント,"物質に元素の力をまとわせる魔術。魔術触媒を装備している時のみ使用可能。この特技は何度でも取得することができる。
この魔術を取得したら、特技の名前を《エンチャント：◯◯》という形に書き換え、◯◯の部分に特定の元素名（火、水、風、土、氷、雷、光、毒など）をひとつ入力すること。
対象となる物質に触れている状態で、インスタントを消費して、2点のストレスを受ける。この魔術をかけられた物質はしばらくの間、付記された元素を帯びる。それが武器であれば、その武器を使った攻撃に+1点の追加ダメージを得る。
《エンチャント》の効果は状況によって変化する。炎をまとった武器による攻撃は、炎が弱点の敵に更なるダメージや弱体化などの効果を生むかもしれない。逆に水中の敵には少しのダメージすら生み出さないかもしれない。なお、この術が、この術をかけた物質そのものにダメージを与えることはない。",true
magic,send_sound,音送り,"音ひとつを送り出し、離れた場所で鳴らす魔術。
声や物音などを離れた場所に送ることができる。ただし送れる音の長さは3秒前後まで。
例えばごく短い話題であれば、音送りを使って遠くに届けることができる。あるいは大声や、あなたがなにかを壊した音を遠くに送り、誰かの気を逸らすことも可能だろう。
送れる距離は30m程度が限界で、その音はあなたが発生させたものでなければならない。
音が鳴る範囲を限定することはできない。また、音で攻撃し、音を聞いた者にダメージを与えるような使い方もできない。",false
magic,silence,音消し,"空気の振動を操り、音を消す魔術。
あなたが指定したものの発する音を消すことができる。この魔術によって消音できる音は、あなた自身か、あなたから半径3mの範囲で目視できているものが発生源の音に限る。
《音消し》の持続時間は最大10分で、効果時間を更新するためには対象の3m以内にいる状態でさらに1点のストレスを受ける必要がある。対象があなたから3mの範囲を出た場合、《音消し》をもう一度かけ直さなければ音を消すことはできない。
例えば、あなたの眼の前で落下したカップが割れる音を消すことはできるが、壁を隔てた隣の部屋で落下したカップが割れる音は消すことができない。やかましい旅仲間を黙らせることもできるが、3mの範囲から離れると効果は消滅する。",false
magic,recovery,回復,"傷を癒し回復させる魔術。魔術触媒を装備している時のみ使用可能。
インスタントを消費し、2点のストレスを受ける。ストレスチェックを行って成功した場合、対象に魔術による治療を施し、ダメージの半分の値を傷痕へと変換する。有効範囲は5mほど、治療に有する時間は10秒～30秒前後である。
ただし、《回復》によって死亡状態からの蘇生治療を行うことはできない。
《回復》による治療は、その他の点では通常の治療と同様の処理を行う。治療を受けた冒険者は、その成否に関わらず、次にダメージを負うまで治療行為を受けることはできない。",false
magic,read_wind,風読み,"周囲で起こった空気の流れを知覚する魔術。
あなたは1点のストレスを受ける。《風読み》を発動した冒険者に対して行われる「空気の揺れを発生させる奇襲」はボーナスを生むことができない。
持続時間は1時間で、効果時間を更新するためにはさらに1点のストレスを受ける必要がある。
この魔術を使用していた場合、あなたの周囲で起こった空気の振動は、いち早くあなたに察知される。察知した結果どのような効果をもたらすかは、GMが自由に決めることができる。",false
magic,activate,活性,"触れた者の精神を活性化させる。魔術触媒を装備している時のみ使用可能。
インスタントを消費し、ストレスを3点消費して使用する。対象に戦闘不能状態の解除を試みさせる。対象となった冒険者はストレスチェックを行い、成功したら戦闘不能状態を解除する。
この際、対象となった冒険者は本来のコストであるアクション消費やストレス上昇を行わない。
《活性》の魔術を発動させるためには対象に触れていなければならない。",false
magic,fear,恐怖,"恐ろしい幻覚を見せる魔術。魔術触媒を装備している時のみ使用可能。
2点のストレスを受ける。ストレスチェックを行って成功した場合、対象に強い恐怖を抱かせる幻覚を見せることができる。
この恐怖がどのような効果をもたらすか、そもそもこの魔術が有効であるかどうかは、GMが自由に判断して決定する。
例えばその対象は恐怖によって逃亡するかもしれないし、失神するかもしれない。あるいは逃げ出さないまでも幻覚に怯み、なにかしらの不利を被るかもしれない。一方で、強靭な精神力で恐怖に打ち勝ったり、そもそも恐怖を覚えるために必要な感情そのものを持ち合わせていない可能性もある。",false
magic,warning,警報,"警報を発する刻印の魔術。魔術触媒を装備している時のみ使用可能。
あなたは独自の刻印をひとつ、魔術を行使したい地点に彫り込む必要がある。この魔術を使用する場合、対象の刻印に触れながら1点のストレスを受けることで効果が有効化する。
有効化された刻印は1時間の間、彫り込んだ箇所から半径3mの球形範囲を誰かが通った際、あなたの頭の中に警報を伝える。この警報はあなたにしか聞こえない。
一度に有効化しておける刻印の数はひとつまで。この魔術を使って新しい刻印を有効化した場合、古い方の刻印は無効化される。無効化された刻印をもう一度有効化するには、刻印に触れて、再度ストレスを受けなければならない。これは、効果時間が終了した刻印を有効化する場合も同様である。",false
magic,barrier,結界,"霊的な結界を作り出す刻印の魔術。魔術触媒を装備している時のみ使用可能。
独自の刻印を3つ以上、行使する地点に彫り込み、2点のストレスを受けることで魔術が発動する。
刻印に囲まれた範囲が結界の内側となり、魔術的影響、霊的な影響を遮ってくれる。霊的な存在は結界の内側にいる者を視認できず、まるでその者が消えたかのように見える。
刻印は半径5m以内に集まっていなければならない。効果時間は30分。効果時間を更新するには改めて刻印を彫り込み。さらに1点のストレスを受ける必要がある。
この結界は物質や物理的な力には何の影響も及ぼさないが、霊的、あるいは魔術的な影響力や存在には遮蔽として機能する。それらの存在がこの結界を通り抜けようとする場合、10点のダメージを与えなければ通り抜けることはできない。",false
magic,illusion,幻影,"質量なき幻を生み、簡単な動作をさせる魔術。
幻影を生み出し、あなたが念じた内容を実行させることができる。幻影の継続時間は通常30秒ほど。効果時間を伸ばす場合は1点のストレスを受ける必要があり、最大10分まで伸ばすことができる。
作ることができる幻影の大きさの限界は2mほどで、音や匂いなど、視覚情報以外を伴わせることはできない。また、触れることもできず、幻影の付近で強い衝撃が発生すると消滅する。
幻影が実行できる命令はごく単順な動作に限る。例えば「踊れ」とか「ついて来い」とか「敵を追いかけ回せ」とか、数単語で表せることに限る。複雑な手順を踏む命令を与えた場合、命令は実行されず、幻影は即座に消滅する。
生み出した幻影がどのような効果を生むかはGMが都度判断する。",false
magic,telecommunication,交信,"霊との微かな繋がりから手がかりを得る魔術。
1点のストレスを受ける。ストレスチェックを行って成功した場合、あなたは近くにいる弔われなかった心霊、もしくはあなたの死儀霊から、手がかりを得ることができる。手がかりの内容はGMが自由に決定してよい。
例えば、霊が見聞きしたもの、感じたものを、イメージとして受け取る場合がある。この場合、与えられる映像や音声は不完全なものである場合が多い。ノイズが走っていたり、途切れ途切れだったり、言語が意味不明なものに置き換わっていたり、あるいは抽象化されていたりする。
霊にいくつかの質問を許される可能性もある。ただしその場合、大抵は「はい」か「いいえ」で答えられるような明瞭な質問にしか回答してもらうことはできず、肝心な部分では反応を返してもらえないこともあり得る。",false
magic,power_of_word,言霊,"結んだ約束に魔術的な束縛をもたらすことができる。魔術触媒を装備している時のみ使用可能。
2点のストレスを受ける。ストレスチェックを行って成功した場合、あなたは対象と行った約束事に束縛力を持たせることができる。
この束縛を受けた者が約束を破ろうとした場合、魔術をかけられた者はなにかしらのペナルティを負うことになる。例えば身体的ダメージや体調不良、幻覚などとして発現する。約束を破った場合には、更に大きなペナルティが発生する。
この魔術の有効時間は1~3日の間で変動する。効果時間はGMが決定し、PLには明かされない。この魔術を行う場合、約束の内容を喋っている間中、対象と体が触れ合い続けている必要がある。",false
magic,ritual_of_spirit,死儀,"儀式によって霊を伴とし、非生物に憑依させる魔術。魔術触媒を装備している時のみ使用可能。この特技は何度でも取得することができる。
キャラクターシートの背景や所持品に「死儀霊：◯◯」と追記し、〇〇の部分に霊の名を示す。また、必要ならその詳細も書き記すこと。
死儀霊はあなたにしか見えない霊の伴である。《交信》の魔術なしにコミュニケーションを取ることはできない。死儀霊はあなたに随伴し、霊魂を必要とする魔術を行う際に利用することが出来る。
あなたは1点のストレスを受けることで、死儀霊を半径10m以内にある骨や死体、あるいは10kg以内の非生物に憑依させることができる。死儀霊が憑依した物は浮遊させたり、動かすことができる。また、術者はアクションを消費し、憑依物に攻撃や複雑な動作を行わせることができる。憑依物による命中判定はストレスチェックを用いて行い、命中した場合の効果はGMが判断する。",true
magic,heal,治癒,"毒を解し、肉体から取り除く魔術。魔術触媒を装備している時のみ使用可能。
1点のストレスを受ける。ストレスチェックを行って成功した場合、対象の体内に取り込まれて間もない毒性を取り除くことができる。
この魔術における毒性とは、体に有害な成分全般を対象とする。毒物はもちろん、アルコール、病原菌なども毒性と解釈できるかもしれない。
この魔術がどの程度の効果を生むか、GMが自由に判断して決定できる。毒性が取り込まれてから経過した時間や、毒の回りの早さによっては、完全に取り除けないこともあり得る。
また、《治癒》によって取り除けない毒も存在する。魔術的な性質を持つ毒性には効果を及ばさない可能性が高い。",false
magic,calling,通話,"遠く離れた者同士で会話ができる刻印の魔術。
あなたは対となる刻印を彫り込んだ物品をふたつ、用意する必要がある。この魔術を使用する場合、通話を繋げるふたつの刻印に触れながら1点のストレスを受けることで効果が有効化する。
刻印を施した物品は、その近くで発生した音をもう片方の刻印まで届けることができる。有効範囲は直線距離で500mほど。物理的な障害物の影響は受けない。一度有効化すると、刻印が破壊されるか、3日が経過するまで効果が持続する。
一度の《通話》の魔術で通話を繋げることができる刻印はふたつまで。他にも通話の刻印を作りたければ別途魔術を使う必要がある。有効状態と無効状態を切り替えることもできない。",false
magic,familiar,使い魔,"魔術で造られた生物を伴とする。この特技は何度でも取得することができる。
キャラクターシートの背景や所持品に「使い魔：◯◯」と追記し、〇〇の部分に生物の名を示す。また、必要ならその詳細も書き記すこと。
冒険者はインスタントを消費することで、この生物に簡単な命令を与え、実行させることができる。攻撃行動を命令する場合は非武装攻撃として扱い、生物を正確に操ることができたかどうか、ストレスチェックで命中判定を行う。命中した場合、1点のダメージを与えることができる。
使い魔のサイズは最大でも馬程度。騎乗することも可能だが、人を乗せて空を飛んだり、海を泳ぐことはできない。空想の生物でも構わないが、魔術的な力は持っていないものとする。言語によるコミュニケーションはできない。使い魔が攻撃を受けた場合、消滅したり、動けなくなるなど、効果を発揮しなくなる。再起動したい場合、インスタントを消費してストレスを3点受ける必要がある。",true
magic,ignite,点火,"小さな火を点す魔術。
この魔術を使用すると、10m程度の距離までなら、離れたところから火をつけたり、消したりすることができる。
ただし、時速3km以上で移動する物を対象とする場合は接触している状態でないと火をつけることはできない。
また、点火の魔術を使用する場合は、きっかけとなるなにかしらの動作が必要になる。例えば指を鳴らすとか、手でこするとか、息を吹きかけるとか、ウィンクするなどといった具合である。
この魔術で生まれた火は、火口箱の火と同等程度のもので、十分に燃焼しやすい状態のものにしか燃え移らない。鎮火することができる火はせいぜい松明程度の大きさのものまで。他者の魔術で灯っている火を消すことは出来ない。",false
magic,extend_magic,範囲魔術,"《魔術の得物》の一度に放つ数や、影響範囲を広げる魔術。魔術触媒が必要。
《魔術の得物》を使用する直前、2点のストレスを受け、インスタントを消費して使用する。直後に使う《魔術の得物》が集団の敵に命中した場合、1d6点の追加ダメージを与える。",false
magic,light_brush,光の筆,"空中に光の文字や絵を描くことができる。
この魔術を使用すると、指先で空中をなぞった通りに光の線を描くことができる。
魔術触媒を所持していれば、指先を使う必要なく、思考のみで線を描くことができる。その場合、ストレスを1点払うこと。
光の色は好きに指定することができる。また、描いたものは簡単にであれば動かすこともできる。
ただし、光の線の光量を指定することはできず、壁を通り抜けさせることなどもできない。また、術者が願うか、30分が経過すると光の線は消滅する。",false
magic,cover,被覆,"触れた物体を幻で覆い隠し、他の物に見せかける魔術。魔術触媒を装備している時のみ使用可能。
1点のストレスを受ける。あなたは触れている物を覆う幻を作り出すことができる。対象は1m立方の大きさの物までに限る。
持続時間は10分で、効果時間を更新するためには対象に触れた状態でさらに1点のストレスを受ける必要がある。
幻の膜を吸着させ覆い隠す必要があるため、実物と違う大きさの幻を見せることはできない。また、感触を変えることはできないため、被覆を使った対象に触れると感触に違和感を覚える可能性がある。
人の顔を変えることもできるが、声を変えることはできない。また、付近で強い衝撃が発生すると幻は消滅する。",false
magic,float,浮遊,"空気圧を物と地面の間に滑り込ませ、浮かび上がらせて、平行移動させる魔術。
動かすことのできる物の重さは最大60kg。地面から浮かすことのできる高さは50cmまで。使用後3ラウンドの間、《浮遊》の対象となった物を、手を使わず自由に動かすことができる。対象が抵抗した場合には必ず失敗する。
垂直方向への移動、物体の細かい操作、ダメージを与えるほどの力強い動きはできない。例えば「箱を開ける」「弓を引く」「ナイフを高速で移動させて敵を刺す」などのことは不可能である。
地面と物との間に空気圧を生むことによって浮かび上がらせているため、物を高い位置で保っておくことはできない。ダメージが発生するほど高いところから落ちてきた物を完全に受け止めることも、《浮遊》程度の空気圧では難しい。例えば吊り橋の落ちた崖があったとして、この魔術を用いてそれを渡ろうとする場合、重力に耐えられず落下し、加速していって、地面と衝突する。",false
magic,magic_weapon,魔術の得物,"元素で武器を創造し、攻撃する魔術。魔術触媒を装備している時のみ使用可能。この特技は何度でも取得することができる。
この魔術を取得したら、この特技の名前を《魔術の得物：◯◯》という形に書き換え、◯◯の部分に特定の元素名（火、水、風、土、氷、雷、光、毒など）をひとつ入力すること。
アクションを消費し、3点のストレスを受ける。ストレスチェックを行って成功した場合、魔術は対象へ誘導されて命中し、1d8+1のダメージを与える。
射程は20m前後。得物の形状は術者のイメージによって象られる。火の球、風の刃、地面から突出する岩の槍……ただし、繊細な操作はできず、エネルギー量もある程度一定で、攻撃以外の目的で使うことはできない。どのような元素で攻撃したとしても威力は変わらないが、特定の元素が有効、あるいは無効な敵だった場合、GMの判断で性能を変化させてもよい。",true
features,wisdom,叡智,"あなたはアイオニアにおいて革新的とされる知識を有している。この特技は繰り返し何度でも取得することができる。
キャラクターシートの背景や所持品に「叡智：〇〇」と追記し、〇〇の部分にどんな知識なのかを示す。また、必要ならその詳細も書き記すこと。
例えばそれは遺跡から手に入れた古代魔術についての知識かもしれないし、革新的な医術の研究かもしれないし、出身地でのみ知られていた特別な農耕技術かもしれない。
この特徴がどのような効果をもたらすかはGMが判断し決定する。シチュエーションに合致していれば、それらは技能判定のボーナスや、新たな情報という形で冒険者に恩恵をもたらすかもしれない。",true
features,concentrate,過集中,"あなたは過度に集中し過ぎるきらいがある。
プッシュを行う時、ストレスを2点追加で上昇させることを選んでもよい。そうした場合、直後のプッシュによる技能判定へのボーナスを+2点追加する。
《過集中》を使用する場合は、必ず技能判定を行う前に宣言されなければならない。技能判定が失敗した後からボーナスを適用することはできない。",false
features,acrobatics,軽業,"あなたは高所に登ったり、移動したり、飛び降りたりすることに長けている。
この特技を有する冒険者は、身軽さや平衡感覚が試される技能判定にボーナスを得たり、ペナルティを無視することができる。効果の内容はGMの判断で決定する。
例えば建物の間を跳躍して飛び越える時や、大きく揺れる足場で体勢を保つ時などであれば、+3点ほどのボーナスを得られる可能性がある。
この特技によって回避にボーナスが発生することはない。ただし、足元の不安定さによって回避にペナルティを負う場面など、その不利を打ち消すという形で恩恵を得ることはできる。",false
features,connivance,看破,"あなたは弱点や嘘を的確に見破ることができる。
この特技を有する冒険者は、弱点を見破るための技能判定にボーナスを得ることができる。ボーナスの内容はGMの判断で決定する。
例えば古い壁の脆くなっている部分を見極める時、相手の表情にわざとらしいところがないか判断する時などであれば、+3点ほどのボーナスを得られる可能性がある。",false
features,thin,希薄,"あなたは魔術的な体質か、あるいは極端な影の薄さによって、人の印象に残りにくい。
あなたの名を知らない者は、あなたの外見や声などの特徴、あなたとなにを話したか、記憶に留めておくことができない。記憶は長くとも数日のうちに、もっと早ければ数時間のうちに、頭の中から消えてしまう。
ただし、一部の魔術師や魔物、注意深い人物にはこの効果が適用されない可能性がある。GMはこの特技がどのような効果を及ぼすか、自由に判断して決定できる。
また、あなたの名を知っている者は（たとえそれが偽名であっても）、その名を頼りに記憶を取り戻す可能性がある。",false
features,cajolery,口車,"あなたは口車が達者であり、相手を言いくるめることに長けている。
この特技を有する冒険者は、口先のうまさが試される技能判定にボーナスを得ることができる。ボーナスの内容はGMの判断で決定する。
例えば相手を言いくるめたり、嘘を信じさせる時などであれば、+3点ほどのボーナスを得られる可能性がある。
相手が冒険者のことを一切警戒しておらず、意見が対立していないなら、技能判定の必要なく相手を説得できてもおかしくない。",false
features,connection,コネクション,"あなたは特定の人物、組織にコネクションを持っている。この特技は何度でも取得することができる。
キャラクターシートの背景や所持品に「コネクション：〇〇」と追記し、〇〇の部分に誰とのコネクションであるかを示す。また、必要ならその詳細も書き記すこと。
このコネクションがどのような効果をもたらすかはGMが判断し決定する。例えば、コネクションを持っている組織に対してなにかしらの交渉をする場合、その者は優遇される可能性がある。安価に物を仕入れてくれたり、情報を特別に提供してくれるかもしれない。",true
features,change_clothes,様変わりの衣,"あなたは「様変わりの衣」と呼ばれるアーティファクトを所持している。
1点のストレスを受けて使用することで、瞬時に思い通りの服装になれる不思議な外套である。
あくまで服装が変わるアーティファクトであり、冒険者の身体的特徴が変わることはない。また、防具としての性能も付与されない。
魔術的儀式で織られた特殊な絹が用いられている。「様変わりの衣」はこの絹で作られた衣服の総称で、服の上から羽織れてGMの許可さえあれば、どのような形状をしていても構わない。
詳細はルールブックの【アイオニア博物記】（P.137）を参照。",false
